Event Time,Process Id,Process Name,Command Line,Creation Time,Account Name,Parent Process Id,Parent Process Name,Parent Command Line,Remote IP,Remote Port,Local IP,Local Port,Process Status,Process Integrity Level,Executable Path,SHA1,Read Count,Write Count
2025-01-26 21:09:51,15396,McUICnt.exe,C:\Program Files\Common Files\McAfee\Platform\McUICnt.exe /platui /runkey,2025-01-26 20:08:59,LAPTOP-6O3JCTLT\LENOVO,2612,svchost.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule,,,,,running,Normal,C:\Program Files\Common Files\McAfee\Platform\McUICnt.exe,2e76dc0eb57cffd8d62e97f0339eda91dd0408a0,149,9
2025-01-26 21:09:51,15472,SystemNotificationPlugin.exe,C:\ProgramData\Lenovo\Udc\Hosts\24.10.0.10\x64\SystemNotificationPlugin.exe C:\ProgramData\Lenovo\Udc\Broker\Elevated\123ABCBD-1126-4A3C-8BE1-D3522F96A722 4176 SystemNotificationPlugin,2025-01-26 19:21:27,NT AUTHORITY\SYSTEM,4176,UDClientService.exe,C:\WINDOWS\System32\drivers\Lenovo\udc\Service\UDClientService.exe,,,,,running,Normal,C:\ProgramData\Lenovo\Udc\Hosts\24.10.0.10\x64\SystemNotificationPlugin.exe,cff31e9cf16f18e65e30942ea02487badc456bb1,40,0
2025-01-26 21:09:51,15476,conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0x4,2025-01-26 19:21:27,NT AUTHORITY\SYSTEM,15472,SystemNotificationPlugin.exe,C:\ProgramData\Lenovo\Udc\Hosts\24.10.0.10\x64\SystemNotificationPlugin.exe C:\ProgramData\Lenovo\Udc\Broker\Elevated\123ABCBD-1126-4A3C-8BE1-D3522F96A722 4176 SystemNotificationPlugin,,,,,running,Normal,C:\Windows\System32\conhost.exe,0027bb9f956056b469b1dfd7cebd23c53b8f6f79,11,0
2025-01-26 21:09:51,15520,Widgets.exe,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.34401.20.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe -ServerName:Microsoft.Windows.DashboardServer,2025-01-26 20:08:01,LAPTOP-6O3JCTLT\LENOVO,1492,svchost.exe,C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p,,,,,running,Normal,C:\Program Files\WindowsApps\microsoftwindows.client.webexperience_524.34401.20.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,ea31ee60bb4704ecf004cfc35d66f7cdb85f3a7f,22945,853
2025-01-26 21:09:51,15688,DataExchangeHost.exe,C:\Windows\System32\DataExchangeHost.exe -Embedding,2025-01-26 20:44:51,LAPTOP-6O3JCTLT\LENOVO,1492,svchost.exe,C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p,,,,,running,Normal,C:\Windows\System32\DataExchangeHost.exe,bfcb3befa2b41ba9055923bfb6802d464acb248b,20,4
2025-01-26 21:09:51,15860,Code.exe,C:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\Code.exe c:\Users\LENOVO\.vscode\extensions\formulahendry.auto-rename-tag-0.1.10\packages\server\dist\serverMain.js --node-ipc --clientProcessId=13648,2025-01-26 20:14:02,LAPTOP-6O3JCTLT\LENOVO,13648,Code.exe,"C:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\Code.exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --video-capture-use-gpu-memory-buffer --user-data-dir=C:\Users\LENOVO\AppData\Roaming\Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=3624,i,4524504095230592636,17714388146891457910,262144 --disable-features=CalculateNativeWinOcclusion,PlzDedicatedWorker,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=3620 /prefetch:14",,,,,running,Normal,C:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\Code.exe,0102fcca85dbbc61901c2bec5d092a703c0f77a4,622,2
2025-01-26 21:09:52,16048,OpenConsole.exe,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.12.10983.0_x64__8wekyb3d8bbwe\OpenConsole.exe -Embedding,2025-01-26 21:09:08,LAPTOP-6O3JCTLT\LENOVO,1492,svchost.exe,C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p,,,,,running,Normal,C:\Program Files\WindowsApps\microsoft.windowsterminal_1.12.10983.0_x64__8wekyb3d8bbwe\OpenConsole.exe,5d286dca6a6dd44e341729be25113fd02689e6b6,3,0
2025-01-26 21:09:52,16120,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,2025-01-26 20:15:32,LAPTOP-6O3JCTLT\LENOVO,1492,svchost.exe,C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p,,,,,running,Normal,C:\Windows\System32\RuntimeBroker.exe,e66b427b11ddcdc260dce57702eeca7dd89addf9,21,0
2025-01-26 21:09:52,16212,LenovoVantage-(DeviceSettingsSystemAddin).exe,C:\Program Files (x86)\Lenovo\VantageService\4.2.24.0\LenovoVantage-(DeviceSettingsSystemAddin).exe DeviceSettingsSystemAddin C:\ProgramData\Lenovo\Vantage\Addins\\DeviceSettingsSystemAddin\1.0.8.3\DeviceSettingsSystemAddin.dll DeviceSettingsSystemAddin.b7ad263989bb4ec1abf23e075115b3d3 158c3df4-9a07-4b1e-be38-e0ebcf2275e2 8,2025-01-26 20:08:07,NT AUTHORITY\SYSTEM,19324,LenovoVantageService.exe,C:\Program Files (x86)\Lenovo\VantageService\\4.2.24.0\LenovoVantageService.exe,,,,,running,Normal,C:\Program Files (x86)\Lenovo\VantageService\4.2.24.0\LenovoVantage-(DeviceSettingsSystemAddin).exe,fd06a24c2dc722abc0945cd4c2b311cfd768558b,58,0
2025-01-26 21:09:52,16284,Code.exe,"C:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\Code.exe --type=gpu-process --user-data-dir=C:\Users\LENOVO\AppData\Roaming\Code --gpu-preferences=UAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --field-trial-handle=1768,i,4524504095230592636,17714388146891457910,262144 --disable-features=CalculateNativeWinOcclusion,PlzDedicatedWorker,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=1760 /prefetch:2",2025-01-26 20:13:57,LAPTOP-6O3JCTLT\LENOVO,288,Code.exe,C:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\Code.exe,,,,,running,Normal,C:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\Code.exe,0102fcca85dbbc61901c2bec5d092a703c0f77a4,43374,37967
2025-01-26 21:09:52,16356,FnHotkeyUtility.exe,C:\Windows\System32\DriverStore\FileRepository\lenovofnandfunctionkeys.inf_amd64_835bd694f1ef7154\FnHotkeyUtility.exe,2025-01-26 20:07:58,LAPTOP-6O3JCTLT\LENOVO,4100,LenovoUtilityService.exe,C:\WINDOWS\System32\DriverStore\FileRepository\lenovofnandfunctionkeys.inf_amd64_835bd694f1ef7154\LenovoUtilityService.exe,,,,,running,Normal,C:\Windows\System32\DriverStore\FileRepository\lenovofnandfunctionkeys.inf_amd64_835bd694f1ef7154\FnHotkeyUtility.exe,31768bd6335e9a489e1f5c729fc48e779032b534,5,1
2025-01-26 21:09:52,16436,svchost.exe,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc,2025-01-26 19:22:16,NT AUTHORITY\LOCAL SERVICE,1328,services.exe,C:\WINDOWS\system32\services.exe,,,,,running,Normal,C:\Windows\System32\svchost.exe,3f64c98f22da277a07cab248c44c56eedb796a81,43,1
2025-01-26 21:09:52,16716,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\132.0.2957.127\msedgewebview2.exe --embedded-browser-webview=1 --webview-exe-name=Widgets.exe --webview-exe-version=524.34401.20.0 --user-data-dir=C:\Users\LENOVO\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView --noerrdialogs --disk-cache-size=52428800 --edge-webview-is-background --lang=en-US --mojo-named-platform-channel-pipe=15520.20472.5123597144384628904 /pfhostedapp:9012b5dd5b35b16d0837a1a6aca980719d7aa20d,2025-01-26 20:11:01,LAPTOP-6O3JCTLT\LENOVO,15520,Widgets.exe,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.34401.20.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe -ServerName:Microsoft.Windows.DashboardServer,,,,,running,Normal,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\132.0.2957.127\msedgewebview2.exe,06ad0b74cd461a2d00ccd32a7a3d5a5f8a326d23,6152,3953
2025-01-26 21:09:52,16748,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe -contentproc -parentBuildID 20250120135430 -prefsHandle 3312 -prefsLen 32777 -prefMapHandle 3316 -prefMapSize 268392 -ipcHandle 3112 -initialChannelId {5103199b-a7e1-4c8c-8f29-ce69cef1a12c} -parentPid 13760 -crashReporter \\.\pipe\gecko-crash-server-pipe.13760 -appDir C:\Program Files\Mozilla Firefox\browser - 4 rdd,2025-01-26 20:09:01,LAPTOP-6O3JCTLT\LENOVO,13760,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe,,,,,running,Normal,C:\Program Files\Mozilla Firefox\firefox.exe,89a70725fef65460f87c43f4c2f46eaade26c3eb,524,637
